Company,Symbol,Split Ratio,Announcement Date,Record Date,Ex-Date
Hancock Jaffe Laboratories Inc,HJLI,1:25,11/27/2020,11/30/2020,11/30/2020
"Apartment Investment and Management Co Company Website",AIV,1:1.2382,10/23/2020,11/30/2020,12/1/2020
"Commerce Bancshares Inc Company Website",CBSH,21:20,10/30/2020,12/2/2020,12/1/2020
"Landmark Bancorp Inc Company Website",LARK,21:20,10/28/2020,12/2/2020,12/1/2020
"McCormick & Company Inc Company Website",MKC,2:1,9/29/2020,11/20/2020,12/1/2020
"NCS Multistage Holdings Inc Company Website",NCSM,1:20,11/30/2020,12/1/2020,12/1/2020
"Titan Pharmaceuticals Inc Company Website",TTNP,1:30,11/30/2020,12/1/2020,12/1/2020
"Rollins Inc Company Website",ROL,3:2,10/27/2020,11/10/2020,12/11/2020
"Brookfield Renewable Corp Company Website",BEPC,3:2,11/4/2020,12/7/2020,12/14/2020
"Stifel Financial Corp Company Website",SF,3:2,11/11/2020,12/2/2020,12/17/2020
"VEREIT Inc Company Website",VER,1:5,11/6/2020,12/18/2020,12/18/2020
"Great Elm Capital Corp Company Website",GECC,1.025:1,10/6/2020,12/31/2020,12/30/2020